Num nodes,Num trials,Quadratic Fill L2,Quadratic Fill Percentile 000,Quadratic Fill Percentile 025,Quadratic Fill Percentile 050,Quadratic Fill Percentile 075,Quadratic Fill Percentile 100,Quadratic Regres L2,Quadratic Regres Percentile 000,Quadratic Regres Percentile 025,Quadratic Regres Percentile 050,Quadratic Regres Percentile 075,Quadratic Regres Percentile 100,Quintic Interp L2,Quintic Interp Percentile 000,Quintic Interp Percentile 025,Quintic Interp Percentile 050,Quintic Interp Percentile 075,Quintic Interp Percentile 100
4,0,0.08758587049555727,0.4236547993389047,0.4271222206929705,0.4305999057012685,0.43408814050933153,0.4375872112626925,0.08434377252999371,0.4236547993389047,0.4270339520991078,0.43059230786445635,0.4341679530242736,0.4375872112626925,0.08994316638228116,0.4236547993389047,0.427107055141202,0.4305802215621839,0.43407377985247314,0.4375872112626925
4,1,0.12739628302744385,0.07103605819788694,0.07105182140476213,0.07153948514603747,0.07485636748947379,0.08712929970154071,0.13196382859883296,0.07103605819788694,0.07834463550438366,0.07888348933679776,0.07931784620227321,0.08712929970154071,0.12858133834127447,0.07103605819788694,0.07105182140476213,0.07153948514603747,0.07485636748947379,0.08712929970154071
4,2,0.36399623278854926,0.46147936225293185,0.4937551790537158,0.61827500277773,0.7451825084119357,0.7805291762864555,0.3662890076128853,0.46147936225293185,0.4945232061426568,0.6210042692696937,0.7474853323967305,0.7805291762864555,0.45685455512403045,0.46147936225293185,0.6795591285057531,0.7605763554086142,0.779280629636961,0.7805291762864555
4,3,0.24309481099460103,0.26455561210462697,0.307599632643097,0.3586364465940999,0.3988637892850526,0.4146619399905236,0.25307093203101566,0.26455561210462697,0.28972924294121083,0.3436100967402407,0.3952476185344619,0.4146619399905236,0.22607805731817504,0.26455561210462697,0.30879895835590804,0.36107495564300973,0.4011353456832061,0.4146619399905236
4,4,0.2412672406424028,0.6120957227224214,0.6125968205722032,0.6145148597985892,0.6164328990249752,0.6169339968747569,0.24276466745543923,0.6120957227224214,0.6125968205722032,0.6145148597985892,0.6164328990249752,0.6169339968747569,0.2416478326887278,0.6120957227224214,0.6154028228986262,0.6166314196179361,0.6169150631198492,0.6169339968747569
4,5,0.14095734943219554,0.1289262976548533,0.12900608344140602,0.13147440321155276,0.14826286946525286,0.2103825610738409,0.14180849248225932,0.1289262976548533,0.14941885315547182,0.15047194980959,0.1553972873149106,0.2103825610738409,0.14095734943219554,0.1289262976548533,0.12900608344140602,0.13147440321155276,0.14826286946525286,0.2103825610738409
4,6,0.048023694917684,0.10204481074802807,0.11813231663103915,0.13239647506440683,0.14708174440327135,0.16130951788499626,0.051439607286585906,0.10204481074802807,0.1246953084836907,0.14564325421440355,0.15857578100761116,0.16130951788499626,0.03982229014038549,0.10204481074802807,0.12476037271662414,0.1413699838642638,0.15313318523802766,0.16130951788499626
4,7,0.03147244900161232,0.11037514116430513,0.11855608058533611,0.12875705475979954,0.13639372398836697,0.1381829513486138,0.03672072521389904,0.11037514116430513,0.11581002123458281,0.12644082416273372,0.13582997098965688,0.1381829513486138,0.025000530115958555,0.11037514116430513,0.11855800879352069,0.12831683972884544,0.13577456421384126,0.1381829513486138
4,8,0.4993828316463146,0.09609840789396307,0.20006995589567303,0.29694426474705315,0.38653384361032284,0.4686512016477016,0.47160216531027094,0.09609840789396307,0.17123701531504248,0.28026697561490854,0.3909171185445845,0.4686512016477016,0.49500589344133444,0.09609840789396307,0.202025697836879,0.299176745919308,0.3879268234274991,0.4686512016477016
4,9,0.034225745909104294,0.11872771895424405,0.11872915767399415,0.118773667110528,0.11907640145729181,0.1201965612131689,0.033791955143891196,0.11872771895424405,0.11887984627783951,0.11946214008370648,0.12004443388957345,0.1201965612131689,0.034225745909104294,0.11872771895424405,0.11872915767399415,0.118773667110528,0.11907640145729181,0.1201965612131689
4,10,0.11213515877677134,0.09394051075844168,0.1284223421160663,0.19948710395718705,0.2532106214922414,0.2653894909394454,0.10817413754753721,0.09394051075844168,0.14173087205811793,0.16794999653623952,0.20056802620696226,0.2653894909394454,0.10955359511389455,0.09394051075844168,0.1083348504816446,0.1296498921675901,0.16365805611491482,0.2653894909394454
4,11,0.07753695174290202,0.13179786240439217,0.13833184803597615,0.1589300865290707,0.17827250918871015,0.18319136200711683,0.08155567940484677,0.13179786240439217,0.15046009515203113,0.1540131420526073,0.15782448159620854,0.18319136200711683,0.07815701366098093,0.13179786240439217,0.13249203557974942,0.1347788998358479,0.14531120073612752,0.18319136200711683
4,12,0.4623132455625111,0.27000797319216485,0.38882884385470906,0.537462338387418,0.649670848427822,0.6778165367962301,0.4636151121266214,0.27000797319216485,0.3384430295846443,0.4948769860193529,0.639294470357565,0.6778165367962301,0.44683442306783633,0.27000797319216485,0.39018389204076326,0.5389505664776142,0.6505005778421888,0.6778165367962301
4,13,0.038426642408590714,0.2230816326406183,0.22330108177497213,0.23009014359000104,0.27626646829250145,0.44712537861762736,0.0461906207171824,0.2230816326406183,0.2561775186601114,0.3153313463465305,0.3390268428137863,0.44712537861762736,0.038426642408590714,0.2230816326406183,0.22330108177497213,0.23009014359000104,0.27626646829250145,0.44712537861762736
4,14,0.33122399210599296,0.5812728726358587,0.6113838260319879,0.6399573288564149,0.6670032829310406,0.6925315900777659,0.3292837625234342,0.5812728726358587,0.6044464566063503,0.6363310537790812,0.6686523294054382,0.6925315900777659,0.3314794825646823,0.5812728726358587,0.6110655901249632,0.6395670321138837,0.6667360737242684,0.6925315900777659
4,15,0.08272866273968783,0.019193198309333526,0.09789514951575974,0.17116719306736033,0.23904764383125152,0.30157481667454933,0.0780385853385859,0.019193198309333526,0.08364948982525677,0.16063381202625526,0.23795124886398916,0.30157481667454933,0.08288387256068806,0.019193198309333526,0.09761033734494269,0.17088007982121123,0.23890178613284482,0.30157481667454933
4,16,0.05954182456004899,0.13547406422245023,0.17364542305742084,0.21304095110089877,0.2543551011385476,0.29828232595603077,0.0588765333179813,0.13547406422245023,0.177577285056284,0.21675101858669954,0.255913537486557,0.29828232595603077,0.05953891280170448,0.13547406422245023,0.15941429062186108,0.19671734043353797,0.24410081757306618,0.29828232595603077
4,17,0.056072369541844566,0.36756187004789653,0.36762877236769076,0.36969851844342405,0.3837760551412366,0.4358649252656268,0.058759146748150054,0.36756187004789653,0.38944783124880245,0.39219875862094705,0.3946675101455989,0.4358649252656268,0.05588563209590778,0.36756187004789653,0.36762877236769076,0.36969851844342405,0.3837760551412366,0.4358649252656268
4,18,0.2682252795305164,0.14944830465799375,0.24227694604609162,0.3584823765084255,0.5113690197683229,0.7142412995491114,0.286616738042961,0.14944830465799375,0.2936406523527324,0.42087661545702226,0.5527001304880199,0.7142412995491114,0.26651865471571,0.14944830465799375,0.22256355900951585,0.3569061649894184,0.5114166783395695,0.7142412995491114
4,19,0.23087704708977172,0.06916699545513805,0.16715619270187138,0.280331638589537,0.3697724256404803,0.40718329722599966,0.240682393224359,0.06916699545513805,0.126323953798194,0.2461193610929909,0.36158806451875536,0.40718329722599966,0.22162262901494606,0.06916699545513805,0.17127114372012278,0.2875547107784111,0.3759370364217919,0.40718329722599966
4,20,0.14403316020031023,0.011714084185001972,0.012055206088087104,0.022608438359084174,0.09438705715553003,0.3599780644783639,0.14247141415917933,0.011714084185001972,0.07935715082232023,0.0894555752496221,0.13410625287424863,0.3599780644783639,0.14403316020031023,0.011714084185001972,0.012055206088087104,0.022608438359084174,0.09438705715553003,0.3599780644783639
