64,1200000,19582074.5663
64,3001000,40516920.9139
1024,1200000,75590586.0727
1024,3001000,131142990.584
64,1500000,24703091.6459
64,2300000,30657883.2939
64,2400000,33292025.2454
64,2500000,35750838.4163
64,2900000,38681338.3694
256,1200000,52086394.2725
256,1400000,55704478.8451
256,1500000,60031030.0071
256,1600000,63461238.2657
256,1800000,65907986.6344
256,1900000,70494639.5148
256,2000000,76550755.1341
256,2300000,78996603.5354
256,3001000,106791576.538
1024,1400000,82041886.7325
1024,1800000,88860664.9713
1024,1900000,91039658.8876
1024,2100000,97394598.3525
1024,2400000,104600797.163
1024,2500000,109217431.807
1024,2700000,114197526.362
1024,3000000,121489906.635
