Policy,Max Steps,Adaptive,Min Changes,Max Changes,Avg Changes,L2
Fixed Step,1000,0.05,1,1,1.0,0.01004922659655459
Fixed Step,1000,0.05,1,1,1.0,0.019557342737239528
Fixed Step,1000,0.05,1,2,1.1428571428571428,2035.578750978507
Fixed Step,1000,0.05,1,1,1.0,0.48664973515534615
Fixed Step,1000,0.05,1,1,1.0,0.02243571901100695
Fixed Step,1000,0.05,1,2,1.1666666666666667,0.677141826342133
Fixed Step,1000,0.05,1,1,1.0,0.04622989377734672
Fixed Step,1000,0.05,1,1,1.0,1.9690705645995166
Fixed Step,1000,0.05,1,1,1.0,14.159377025311542
Fixed Step,1000,0.05,1,2,1.1,0.2060317082083181
Fixed Step,1000,0.05,1,1,1.0,0.00887354641637975
Fixed Step,1000,0.05,1,1,1.0,0.015090367185765735
Fixed Step,1000,0.05,1,10,2.8,0.049186552692214905
Fixed Step,1000,0.05,1,1,1.0,20.089173975610105
Fixed Step,1000,0.05,1,5,1.5714285714285714,0.5770182357720829
Fixed Step,1000,0.05,1,1,1.0,0.00402198926914936
Fixed Step,1000,0.05,1,1,1.0,0.02251048052123366
Fixed Step,1000,0.05,1,1,1.0,0.018142660581827143
Fixed Step,1000,0.05,1,1,1.0,0.5903015889967606
Fixed Step,1000,0.05,1,1,1.0,0.40062909810969377
Fixed Step,1000,0.05,1,1,1.0,0.0002710339306627288
Fixed Step,1000,0.05,1,1,1.0,1410.0567063579415
Fixed Step,1000,0.05,1,3,1.4285714285714286,0.038604574465167005
Fixed Step,1000,0.05,1,2,1.1428571428571428,0.06301763463888228
Fixed Step,1000,0.05,1,2,1.2222222222222223,0.09808946030103913
Fixed Step,1000,0.05,1,1,1.0,0.0007767223688943349
Fixed Step,1000,0.05,1,1,1.0,0.004842089236573196
Fixed Step,1000,0.05,1,1,1.0,0.013231941471614233
Fixed Step,1000,0.05,1,1,1.0,0.07056436544870064
Fixed Step,1000,0.05,1,1,1.0,0.0007410151811553209
