64,1,1200000,293624.292
64,1,3001000,440300.71925
64,256,1200000,74810465.1937
64,256,3001000,180097958.832
1024,1,1200000,1268529.39767
1024,1,3001000,1582802.15725
1024,256,1200000,343393439.751
1024,256,3001000,634167243.269
64,32,1800000,16317440.4012
64,128,3001000,106319303.556
256,128,2800000,221360978.403
256,256,1600000,287225170.716
256,256,1900000,330363120.219
256,256,2800000,410173209.391
1024,32,1400000,43033686.6819
1024,128,1200000,169118520.132
1024,128,2700000,262792869.993
1024,256,1600000,374224055.12
1024,256,2400000,474119461.419
1024,256,2500000,505403066.749
1024,256,2700000,538896702.64
1024,256,2900000,569860807.258
