32,1,1200000,894560.42075
32,1,3001000,1270577.78767
32,256,1200000,240838867.246
32,256,3001000,458436119.865
512,1,1200000,968924.87525
512,1,3001000,1214328.64675
512,256,1200000,275002627.854
512,256,3001000,582030183.747
32,32,2000000,36663770.1442
32,256,1900000,282790207.629
32,256,3000000,421626990.268
128,128,2400000,230451133.85
128,256,1500000,321494320.428
128,256,2500000,445488129.03
128,256,2900000,513828289.407
128,256,3000000,536725854.602
128,256,3001000,586416079.024
512,8,2400000,10356582.9975
512,64,1200000,67544891.106
512,64,2700000,111469689.408
512,128,1200000,138785392.438
512,256,2800000,472509246.802
