64,1,1200000,52770698076.1
64,1,3001000,118434086694
64,256,1200000,3.54715362788e+15
64,256,3001000,1.56737389402e+16
1024,1,1200000,378988200001
1024,1,3001000,948478327030
1024,256,1200000,1.06713289128e+16
1024,256,3001000,2.28484139956e+16
64,64,1500000,3.35266702492e+14
64,256,1800000,5.89342099276e+15
256,128,2500000,8.16101417891e+15
256,256,1800000,2.0399671534e+16
256,256,1900000,2.25768885554e+16
256,256,2100000,2.43825247922e+16
256,256,2400000,2.83634362059e+16
256,256,2700000,3.5638378143e+16
256,256,3000000,4.09393877673e+16
256,256,3001000,5.16563366136e+16
1024,128,2700000,3.72211856688e+15
1024,256,1900000,1.13484990985e+16
1024,256,2300000,1.74414189006e+16
1024,256,2400000,1.41928757093e+16
